-----------WF-CO-30KG 动力系统测试台-----------
设备ID：,19319,软件版本：,53,硬件版本：,53
模式：,高级油门
测试时间：,2023-08-18 21:24
测试员：,
测试电机型号：,
电机极对数：,14,桨叶数：,2
测试螺旋桨型号：,
测试电调型号：,
测试电源型号：,
备注：,
------------www.lyfh-tj.com--------------
序号,时间,油门 - %,PWM - us,电压 - V,电流 - A,拉力 - gf,扭矩 - N*m,换相转速 - RPM,转速（光电) - RPM,红外温度 - ℃,总（电）功率 - W,轴功率 - W,电机效率 - %,桨力效 - gf/W,系统力效 - gf/W,耗电量（mAh）,耗电量（Wh）,路端电压 - V,线损功率 - W,修正功率 - W,D2 油门 - %,D2 PWM - us,D2 电压 - V,D2 电流 - A,D2 拉力 - gf,D2 扭矩 - N*m,D2 换相转速 - RPM,D2 转速（光电) - RPM,D2 红外温度 - ℃,D2 总（电）功率 - W,D2 轴功率 - W,D2 电机效率 - %,D2 桨力效 - gf/W,D2 系统力效 - gf/W,D2 耗电量（mAh）,D2 耗电量（Wh）,D2 路端电压 - V,D2 线损功率 - W,D2 修正功率 - W,环境温度 - ℃,空气湿度 - %HR,大气压 - kPa,空气质量,空速 - m/s
189,2023-08-18 21:24:40.558,50.95,1527,23.37,16.15,1962.00,0.636,0.00,4530.00,30.20,377.43,301.71,79.94,6.50,5.20,48.13,1.12,23.37,0.0,377.4,64.04,1637,23.44,17.37,-2820.00,0.720,0.00,4530.00,30.70,407.15,341.55,83.89,8.26,6.93,41.69,0.97,23.44,0.0,407.2,30.70,70,100.76000213623,84,0.00
190,2023-08-18 21:24:40.658,50.95,1527,23.36,15.97,1958.00,0.636,0.00,4530.00,30.20,373.06,301.71,80.87,6.49,5.25,48.58,1.13,23.36,0.0,373.1,64.04,1637,23.44,17.41,-2817.00,0.720,0.00,4530.00,30.70,408.09,341.55,83.70,8.25,6.90,42.18,0.99,23.44,0.0,408.1,30.70,70,100.76000213623,84,0.00
191,2023-08-18 21:24:40.779,50.95,1527,23.36,15.97,1955.00,0.637,0.00,4530.00,30.20,373.06,302.18,81.00,6.47,5.24,49.05,1.14,23.36,0.0,373.1,64.04,1637,23.44,17.41,-2818.00,0.719,0.00,4530.00,30.70,408.09,341.08,83.58,8.26,6.91,42.66,1.00,23.44,0.0,408.1,30.70,70,100.76000213623,84,0.00
192,2023-08-18 21:24:40.879,50.95,1527,23.38,16.00,1959.00,0.637,0.00,4530.00,30.20,374.08,302.18,80.78,6.48,5.24,49.46,1.15,23.38,0.0,374.1,64.04,1637,23.44,17.28,-2815.00,0.715,0.00,4530.00,30.70,405.04,339.18,83.74,8.30,6.95,43.14,1.01,23.44,0.0,405.0,30.70,70,100.76000213623,84,0.00
193,2023-08-18 21:24:40.999,50.95,1527,23.38,16.00,1958.00,0.636,0.00,4530.00,30.20,374.08,301.71,80.65,6.49,5.23,49.91,1.16,23.38,0.0,374.1,64.04,1637,23.44,17.28,-2808.00,0.713,0.00,4530.00,30.70,405.04,338.23,83.51,8.30,6.93,43.62,1.02,23.44,0.0,405.0,30.70,70,100.76000213623,84,0.00
194,2023-08-18 21:24:41.099,50.95,1527,23.33,15.86,1955.00,0.637,0.00,4530.00,30.20,370.01,302.18,81.67,6.47,5.28,50.35,1.17,23.33,0.0,370.0,64.04,1637,23.44,17.43,-2809.00,0.721,0.00,4530.00,30.70,408.56,342.03,83.72,8.21,6.88,44.10,1.03,23.44,0.0,408.6,30.70,70,100.76000213623,84,0.00
195,2023-08-18 21:24:41.210,50.95,1527,23.33,15.86,1954.00,0.636,0.00,4530.00,30.20,370.01,301.71,81.54,6.48,5.28,50.79,1.18,23.33,0.0,370.0,64.04,1637,23.44,17.43,-2817.00,0.722,0.00,4530.00,30.70,408.56,342.50,83.83,8.22,6.89,44.59,1.04,23.44,0.0,408.6,30.70,70,100.76000213623,84,0.00
196,2023-08-18 21:24:41.330,50.95,1527,23.36,16.02,1954.00,0.636,0.00,4530.00,30.20,374.23,301.71,80.62,6.48,5.22,51.23,1.19,23.36,0.0,374.2,64.04,1637,23.43,17.34,-2818.00,0.719,0.00,4530.00,30.80,406.28,341.08,83.95,8.26,6.94,45.07,1.05,23.43,0.0,406.3,30.70,70,100.76000213623,84,0.00
197,2023-08-18 21:24:41.440,50.95,1527,23.36,16.02,1953.00,0.637,0.00,4530.00,30.20,374.23,302.18,80.75,6.46,5.22,51.68,1.20,23.36,0.0,374.2,64.04,1637,23.44,17.22,-2813.00,0.715,0.00,4530.00,30.80,403.64,339.18,84.03,8.29,6.97,45.55,1.06,23.44,0.0,403.6,30.70,70,100.76000213623,84,0.00
198,2023-08-18 21:24:41.540,50.95,1527,23.34,16.05,1950.00,0.636,0.00,4530.00,30.20,374.61,301.71,80.54,6.46,5.21,52.12,1.21,23.34,0.0,374.6,64.04,1637,23.44,17.22,-2805.00,0.712,0.00,4530.00,30.80,403.64,337.76,83.68,8.30,6.95,46.03,1.08,23.44,0.0,403.6,30.70,70,100.76000213623,84,0.00
